"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Anarchy Arcade JSON -> Import JSON to Hyper / Weba","https://app.dework.xyz/m3/blender-plugins?taskId=9390fac7-2e44-48b0-aa63-c2d38bf5c2e1","","","TODO","","","350 USDC","","jin created on Aug 7, 2023 12:59 PM"
"Hyperfy to Weba","https://app.dework.xyz/m3/blender-plugins?taskId=3a268fe7-7da8-448e-99da-d65000fbf000","","","TODO","","","","","jin created on Aug 3, 2023 2:19 AM"
"Grant: Drag n drop artist friendly optimization tools","https://app.dework.xyz/m3/blender-plugins?taskId=396aca3c-f5e5-4039-b77e-9b3da1b5db44","","","TODO","","","","","jin created on Dec 18, 2022 12:24 AM"
"Neos to Blender","https://app.dework.xyz/m3/blender-plugins?taskId=ec57f72b-e56f-499a-8247-5441797654e7","","","TODO","","","","","jin created on Jul 26, 2022 10:55 PM"
"Blender to Hubs","https://app.dework.xyz/m3/blender-plugins?taskId=3a366865-dcd6-4a7c-8534-a92077912a6f","","","TODO","","","","","jin created on Jul 16, 2022 2:20 PM"
"Blender to Aframe","https://app.dework.xyz/m3/blender-plugins?taskId=893d4b37-bec3-4b9e-bd94-6d55a4da89a8","","","TODO","","","","","jin created on Jul 16, 2022 2:19 PM"
"Blender to Janus","https://app.dework.xyz/m3/blender-plugins?taskId=79159e7b-bddd-4227-baa9-e2a404bda715","","","TODO","","","","","jin created on Jul 16, 2022 2:17 PM"
