"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Finish M3taloot MVP","https://app.dework.xyz/m3/m3taloot?taskId=9bdb0723-84a3-4a12-b930-e2f8eadb6e73","","","DONE","hedera","0x2663171214Bb00C012f0C1bA2e49CC09C7CaB0AC","2500 USDC","","jin created on Feb 18, 2023 4:40 PM, Task completed on Feb 20, 2023 2:13 PM"
"0N1 Force w/ M3taloot","https://app.dework.xyz/m3/m3taloot?taskId=47052f72-c41b-4dc7-b5ae-226fa03c86b6","","","TODO","","","","","jin created on Sep 6, 2022 9:13 PM"
"Add more m3taloot to characters","https://app.dework.xyz/m3/m3taloot?taskId=d85cdf80-94eb-4ed6-8ca1-137abf550611","","","DONE","7oroy.eth","0xe752A9EC1DCE643407DfE51be6c273b59aeB4D46","50 ROBOT","September 2, 2022 10:12 PM","jin created on Aug 30, 2022 8:06 PM, Task completed on Jul 8, 2023 12:18 PM"
"Documentation of current M3taloot","https://app.dework.xyz/m3/m3taloot?taskId=72a9a03d-d274-4a1f-a4f8-5e74ee7d8fb7","","","TODO","","","","","jin created on Jul 4, 2022 12:39 AM"
"cross-over m3taloot hero shot","https://app.dework.xyz/m3/m3taloot?taskId=1fec2a29-5e34-4109-814c-ccd43a536163","github issue","","DONE","","","","","jin created on Jun 26, 2022 9:54 PM, Task completed on Oct 2, 2023 12:06 AM"
