"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Apps documentation","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=db34ae6e-eb57-4c34-93a4-52b75534ca0f","github issue","","TODO","","","","","Github Integration created on Oct 3, 2023 10:40 PM"
"Podcast with Ash on World Building","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=9c557d58-42e3-40ad-8ffc-1e3b7b968e87","","","TODO","","","","","jin created on Oct 1, 2023 10:01 PM"
"Document undocumented features","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=79661dd3-a403-4870-abf7-90cf908784a9","","","TODO","","","1 WORLD","","jin created on Sep 27, 2023 1:00 AM"
